source,target,date_min
file10520,file10524,1534-12-09
file10521,file10522,1534-12-10
file10523,file10538,1534-12-15
file10524,file10544,1534-12-15
file10528,file10547,1534-12-17
file10528,file10542,1534-12-17
file10528,file10543,1534-12-17
file10531,file10534,1534-12-21
file10535,file10536,1534-12-28
file1054,file1080,1550-10-19
file10542,file10547,1535-01-10
file10542,file10557,1535-01-10
file10542,file10543,1535-01-10
file10543,file10547,1535-01-10
file10543,file10557,1535-01-10
file10544,file10551,1535-01-11
file10544,file10549,1535-01-11
file10547,file10564,1535-01-14
file10547,file10557,1535-01-14
file10549,file10562,1535-01-17
file10549,file10551,1535-01-17
file10549,file10563,1535-01-17
file1055,file1082,1550-10-20
file10551,file10563,1535-01-17
file10551,file10562,1535-01-17
file10552,file10568,1535-01-19
file10552,file10559,1535-01-19
file10552,file10565,1535-01-19
file10553,file10567,1535-01-29
file10554,file10560,1535-01-31
file10554,file10555,1535-01-31
file10555,file10560,1535-01-31
file10557,file10564,1535-02-04
file10557,file10581,1535-02-04
file10557,file10574,1535-02-04
file10559,file10568,1535-02-07
file10559,file10565,1535-02-07
file1056,file1074,1550-10-22
file10560,file10585,1535-02-09
file10560,file10586,1535-02-09
file10560,file10584,1535-02-09
file10562,file10573,1535-02-11
file10562,file10570,1535-02-11
file10562,file10563,1535-02-11
file10563,file10570,1535-02-12
file10563,file10573,1535-02-12
file10564,file10581,1535-02-13
file10564,file10574,1535-02-13
file10565,file10568,1535-02-13
file10569,file10571,1535-02-19
file1057,file1063,1550-10-23
file10570,file10573,1535-02-20
file10573,file10599,1535-02-27
file10573,file10601,1535-02-27
file10574,file10595,1535-02-28
file10574,file10592,1535-02-28
file10574,file10581,1535-02-28
file10574,file10602,1535-02-28
file10580,file10596,1535-03-05
file10580,file10594,1535-03-05
file10581,file10602,1535-03-05
file10581,file10592,1535-03-05
file10581,file10595,1535-03-05
file10584,file10585,1535-03-08
file10584,file10586,1535-03-08
file10584,file10593,1535-03-08
file10584,file10597,1535-03-08
file10584,file10591,1535-03-08
file10584,file10600,1535-03-08
file10585,file10600,1535-03-08
file10585,file10586,1535-03-08
file10585,file10593,1535-03-08
file10585,file10597,1535-03-08
file10585,file10591,1535-03-08
file10586,file10593,1535-03-09
file10586,file10597,1535-03-09
file10586,file10591,1535-03-09
file10586,file10600,1535-03-09
file10588,file10603,1535-03-14
file1059,file1069,1550-10-24
file1059,file1068,1550-10-24
file1059,file1067,1550-10-24
file10590,file10605,1535-03-01
file10591,file10597,1535-03-16
file10591,file10600,1535-03-16
file10591,file10593,1535-03-16
file10592,file10609,1535-03-16
file10592,file10607,1535-03-16
file10592,file10602,1535-03-16
file10592,file10595,1535-03-16
file10592,file10608,1535-03-16
file10593,file10597,1535-03-18
file10593,file10600,1535-03-18
file10594,file10596,1535-03-19
file10595,file10608,1535-03-19
file10595,file10609,1535-03-19
file10595,file10607,1535-03-19
file10595,file10602,1535-03-19
file10597,file10600,1535-03-25
file10597,file10614,1535-03-25
file10599,file10610,1535-03-28
file10599,file10612,1535-03-28
file10599,file10611,1535-03-28
file10599,file10601,1535-03-28
file106,file91,1548-04-13
file106,file93,1548-04-05
file106,file133,1548-04-30
file106,file138,1548-04-30
file106,file115,1548-04-30
file106,file96,1548-04-18
file106,file111,1548-04-30
file106,file122,1548-04-30
file106,file125,1548-04-30
file106,file13155,1548-04-04
file106,file90,1548-04-10
file106,file110,1548-04-30
file106,file92,1548-04-15
file106,file134,1548-04-30
file106,file132,1548-04-30
file10600,file10614,1535-03-28
file10601,file10611,1535-03-28
file10601,file10610,1535-03-28
file10601,file10612,1535-03-28
file10602,file10608,1535-03-30
file10602,file10609,1535-03-30
file10602,file10607,1535-03-30
file10607,file10609,1535-04-05
file10607,file10608,1535-04-05
file10608,file10609,1535-04-07
file10609,file10619,1535-04-09
file10610,file10612,1535-04-12
file10610,file10611,1535-04-12
file10611,file10612,1535-04-12
file10614,file10618,1535-04-22
file10614,file10620,1535-04-22
file10616,file10622,1535-05-05
file10616,file10624,1535-05-05
file10618,file10620,1535-05-06
file10618,file10625,1535-05-06
file10619,file10621,1535-05-08
file10619,file10627,1535-05-08
file10620,file10625,1535-05-10
file10621,file10627,1535-05-10
file10622,file10634,1535-05-28
file10622,file10624,1535-05-28
file10623,file10631,1535-05-29
file10623,file10626,1535-05-29
file10624,file10634,1535-06-01
file10625,file10647,1535-06-05
file10625,file10638,1535-06-05
file10626,file10631,1535-06-05
file10626,file10646,1535-06-05
file10627,file10632,1535-06-07
file10627,file10639,1535-06-07
file10627,file10636,1535-06-07
file10627,file10641,1535-06-07
file10627,file10640,1535-06-07
file10627,file10645,1535-06-07
file10628,file10629,1535-06-09
file10631,file10646,1535-06-16
file10632,file10655,1535-06-19
file10632,file10639,1535-06-19
file10632,file10636,1535-06-19
file10632,file10641,1535-06-19
file10632,file10640,1535-06-19
file10632,file10645,1535-06-19
file10636,file10640,1535-06-24
file10636,file10645,1535-06-24
file10636,file10655,1535-06-24
file10636,file10639,1535-06-24
file10636,file10641,1535-06-24
file10638,file10647,1535-06-24
file10639,file10641,1535-06-24
file10639,file10640,1535-06-24
file10639,file10645,1535-06-24
file10639,file10655,1535-06-24
file10640,file10641,1535-06-29
file10640,file10645,1535-06-29
file10640,file10655,1535-06-29
file10641,file10655,1535-06-30
file10641,file10645,1535-06-30
file10645,file10655,1535-07-02
file10646,file10660,1535-07-03
file10647,file10659,1535-07-05
file10647,file10663,1535-07-05
file10649,file10651,1535-07-08
file1065,file1092,1550-11-02
file10653,file10654,1535-07-13
file10655,file10662,1535-07-15
file10657,file10658,1535-07-19
file10659,file10663,1535-07-26
file10659,file10667,1535-07-26
file10660,file10670,1535-07-27
file10662,file10675,1535-08-02
